SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469105.129194, 7.102549, -6.573281, 0.794276, -0.606323, 0.519000, -0.086409, , , 
1733469105.139069, 6.718728, -6.968773, 0.752079, -0.412833, 0.239785, -0.277223, -17.988510, -82.486099, -610.516907
1733469105.149187, 6.696283, -7.101651, 0.434997, -0.197743, -0.020699, -0.463616, -17.856842, -82.492935, -610.057739
1733469105.158474, 7.009923, -7.033267, 0.016460, 0.018610, -0.183190, -0.586149, -17.563156, -82.395279, -609.826843
1733469105.169214, 7.474997, -6.881235, -0.492308, 0.244492, -0.204244, -0.613045, -17.224350, -81.940918, -610.283691
1733469105.179208, 7.668778, -7.046884, -0.680253, 0.501102, -0.257539, -0.602968, -16.706741, -81.893890, -610.035767
1733469105.189213, 7.523180, -7.262362, -0.346561, 0.675521, -0.272449, -0.611740, -16.444916, -81.556168, -609.649414
1733469105.199215, 7.371448, -7.059453, 0.033968, 0.739721, -0.257032, -0.582881, -16.156967, -81.315598, -609.499146
1733469105.209184, 7.076213, -6.980145, 0.272789, 0.735488, -0.187801, -0.566077, -16.004440, -81.024658, -608.801819
1733469105.219201, 6.585252, -7.087735, 0.101454, 0.687684, -0.007541, -0.596795, -15.653976, -80.763550, -609.222778
1733469105.229070, 6.016629, -6.956054, 0.335338, 0.599334, 0.166762, -0.679650, -15.589935, -80.735275, -608.484253
1733469105.239194, 5.526416, -6.690746, 0.861314, 0.474317, 0.234524, -0.807231, -15.388000, -80.805222, -608.582458
1733469105.249186, 5.124190, -6.510732, 1.360206, 0.371840, 0.155304, -0.992325, -15.037140, -80.302307, -608.355774
1733469105.259187, 4.973655, -6.356156, 1.638981, 0.281545, -0.012061, -1.199027, -14.372238, -79.742401, -607.255859
1733469105.269177, 5.170877, -5.939116, 1.260547, 0.207815, -0.117752, -1.362787, -13.631592, -79.437164, -608.145691
1733469105.279188, 5.482572, -5.434688, 0.491560, 0.165580, -0.108335, -1.478242, -13.257401, -79.154434, -607.646179
1733469105.289192, 5.512799, -5.046379, 0.072874, 0.171578, -0.122554, -1.594483, -12.756500, -78.888748, -608.264282
1733469105.299193, 5.550957, -4.891653, 0.037559, 0.208277, -0.069306, -1.779585, -12.142944, -78.031952, -607.850464
1733469105.309188, 6.004957, -4.280833, -0.906654, 0.279697, 0.059402, -1.883157, -11.510956, -77.495575, -607.244507
1733469105.319185, 6.654833, -3.456928, -0.508020, 0.407112, -0.002846, -1.896095, -11.044678, -76.889175, -607.703552
1733469105.329178, 7.024139, -3.228731, -0.125396, 0.531432, -0.104570, -1.940556, -10.354446, -76.344040, -606.939270
1733469105.339182, 6.919542, -2.936039, -0.287304, 0.639765, -0.155177, -2.020353, -9.611328, -75.709442, -607.149414
1733469105.348775, 6.932112, -2.322376, -0.157119, 0.733807, -0.262421, -2.064931, -8.894211, -74.805679, -606.346558
1733469105.359189, 6.859238, -1.711106, 0.315286, 0.819999, -0.428967, -2.123688, -8.264511, -74.030457, -606.872620
1733469105.369241, 6.444742, -1.319205, 0.480187, 0.890017, -0.568457, -2.219963, -7.181519, -73.309830, -606.616638
1733469105.379168, 6.238541, -0.894833, 0.361674, 0.928978, -0.635628, -2.311852, -6.500946, -72.380493, -606.117554
1733469105.389170, 6.360197, -0.407762, 0.321122, 0.908562, -0.642255, -2.382500, -5.812500, -71.871353, -606.588745
1733469105.399171, 6.583306, 0.195127, 0.652869, 0.858486, -0.770677, -2.435685, -5.130966, -70.610443, -606.286255
1733469105.409224, 6.594978, 0.841412, 1.418564, 0.842742, -1.252175, -2.509433, -4.212814, -69.934555, -606.043579
1733469105.419183, 6.339846, 1.024269, 1.280898, 0.909879, -1.762928, -2.614462, -3.132324, -68.717072, -607.086975
1733469105.429166, 6.126463, 1.060482, -0.266355, 1.025259, -1.955322, -2.745740, -2.101440, -67.613052, -606.791687
1733469105.439172, 6.260388, 1.727865, -1.426196, 1.109474, -1.871903, -2.815407, -1.246094, -66.385803, -607.282837
1733469105.449171, 6.795044, 2.452111, -1.817798, 1.094851, -1.614806, -2.817767, -0.438049, -65.023880, -607.940430
1733469105.459162, 7.401375, 3.211223, -1.735946, 0.974125, -1.278780, -2.797277, 0.514511, -63.987503, -607.453186
1733469105.469177, 8.057536, 4.138527, -1.820940, 0.812779, -0.813871, -2.748255, 0.826935, -62.866119, -608.225647
1733469105.479164, 8.641422, 4.833744, -1.504456, 0.655718, -0.432980, -2.685079, 1.043243, -61.813004, -607.540710
1733469105.488276, 9.364770, 5.512649, -0.735918, 0.497391, -0.200025, -2.675472, 1.482697, -60.617889, -607.533691
1733469105.499177, 10.740987, 6.785766, -0.155174, 0.309266, -0.029372, -2.627817, 1.747711, -59.506409, -608.093628
1733469105.509160, 12.539332, 8.332869, 0.443675, 0.118617, 0.010152, -2.508326, 1.934372, -58.613968, -607.668884
1733469105.519222, 14.126688, 10.101137, 0.993294, -0.067517, 0.006797, -2.390024, 1.740005, -57.512161, -607.710938
1733469105.529154, 16.762554, 12.122442, 1.162086, -0.291974, -0.007176, -2.095705, 2.171707, -56.989944, -607.477600
1733469105.539179, 20.174142, 13.816489, 0.820912, -0.419386, -0.095096, -1.536553, 2.399689, -56.399887, -607.428345
1733469105.549167, 22.644060, 14.999673, 0.111480, -0.391756, -0.217812, -0.796478, 2.377716, -55.942780, -608.097778
